w_um,l_um,metric_name,target_value,simulated_value,relative_error
0.28,0.14,vtsat_v,0.421157404491,0.436881,0.03733424924109592
0.28,0.14,idlin_a,8.30165158917e-06,8.1936e-06,0.0130156738101319
0.28,0.14,idsat_a,9.97786817858e-05,9.75444e-05,0.022392376265267185
0.28,0.14,idoff_a,1.82866407446e-12,1.80195e-12,0.014608519319158507
0.28,0.14,isoff_a,1.95321363284e-15,1.95466e-15,0.0007405063817300114
0.28,0.28,vtlin_v,0.372641981673,0.387726,0.04047858016232994
0.28,0.28,vtsat_v,0.373370634619,0.357796,0.04171360352131837
0.28,0.28,idlin_a,5.59258479736e-06,5.51122e-06,0.014548692654317628
0.28,0.28,idsat_a,6.35475933489e-05,6.58337e-05,0.03597471643888111
0.28,0.28,idoff_a,1.77700936804e-12,1.81924e-12,0.02376500243585048
0.28,0.28,isoff_a,1.91744511753e-14,1.92387e-14,0.0033507516910190652
0.28,0.56,vtlin_v,0.327793984667,0.337625,0.0299914452151621
0.28,0.56,vtsat_v,0.326976242083,0.313844,0.04016267970829058
0.28,0.56,idlin_a,3.23406039972e-06,3.27918e-06,0.013951378361364683
0.28,0.56,idsat_a,4.04151231092e-05,3.95479e-05,0.021457886119925825
0.28,0.56,idoff_a,1.93383725111e-12,1.84987e-12,0.04342001947775261
0.28,0.56,isoff_a,4.78630365153e-14,4.98666e-14,0.04186035050366139
0.28,1.5,vtlin_v,0.309844688791,0.316427,0.02124390524389452
0.28,1.5,vtsat_v,0.304016287038,0.297597,0.021114944533210552
0.28,1.5,idlin_a,1.55743517853e-06,1.56603e-06,0.00551857412011986
0.28,1.5,idsat_a,1.88976760017e-05,1.85609e-05,0.01782102739351144
0.28,1.5,idoff_a,1.89319522879e-12,1.83344e-12,0.031563162573672573
0.28,1.5,isoff_a,3.30071290953e-14,3.34388e-14,0.013078111199967163
0.28,2.7,vtlin_v,0.319691486744,0.321389,0.005309848170462243
0.28,2.7,vtsat_v,0.303947650953,0.303508,0.0014464693233243967
0.28,2.7,idlin_a,9.38792349763e-07,9.63961e-07,0.026809603043051945
0.28,2.7,idsat_a,1.1605533742e-05,1.1266e-05,0.029256193601095687
0.28,2.7,idoff_a,1.85653224425e-12,1.8157e-12,0.021993824441489934
0.28,2.7,isoff_a,1.61363353133e-14,1.57009e-14,0.026984771005663377
0.56,0.028,vtlin_v,0.626161376792,0.60371,0.035855575933195896
0.56,0.028,vtsat_v,0.359499018011,0.355135,0.012139165317181682
0.56,0.028,idlin_a,5.09726981684e-05,5.226e-05,0.025254732000788014
0.56,0.028,idsat_a,0.00107175274447,0.0010534,0.017124047094533766
0.56,0.028,idoff_a,2.20539010107e-12,2.18893e-12,0.007463578013710077
0.56,0.028,isoff_a,3.94245068992e-13,3.88932e-13,0.01347656422332534
0.56,0.056,vtlin_v,0.637475581585,0.629498,0.012514332808112793
0.56,0.056,vtsat_v,0.522433855683,0.513131,0.017806762677809278
0.56,0.056,idlin_a,3.21099020326e-05,3.10947e-05,0.03161647866659032
0.56,0.056,idsat_a,0.000402491735595,0.000399924,0.006379598307041315
0.56,0.056,idoff_a,1.8510624211e-12,1.80052e-12,0.027304547120547567
0.56,0.056,isoff_a,5.13507776672e-16,5.24637e-16,0.021672940184328998
0.56,0.14,vtlin_v,0.453795549576,0.469743,0.03514236849369809
